Story ID,Prediction,Rationale
95,0,Retrieved evidence introduces narrative constraints that contradict the proposed backstory.
136,1,Retrieved evidence supports the proposed backstory without violating narrative constraints.
59,1,Retrieved evidence supports the proposed backstory without violating narrative constraints.
60,1,Retrieved evidence supports the proposed backstory without violating narrative constraints.
124,0,Retrieved evidence introduces narrative constraints that contradict the proposed backstory.
111,0,Retrieved evidence introduces narrative constraints that contradict the proposed backstory.
135,1,Retrieved evidence supports the proposed backstory without violating narrative constraints.
27,1,Retrieved evidence supports the proposed backstory without violating narrative constraints.
110,1,Retrieved evidence supports the proposed backstory without violating narrative constraints.
42,1,Retrieved evidence supports the proposed backstory without violating narrative constraints.
56,1,Retrieved evidence supports the proposed backstory without violating narrative constraints.
80,1,Retrieved evidence supports the proposed backstory without violating narrative constraints.
28,1,Retrieved evidence supports the proposed backstory without violating narrative constraints.
101,0,Retrieved evidence introduces narrative constraints that contradict the proposed backstory.
91,0,Retrieved evidence introduces narrative constraints that contradict the proposed backstory.
24,1,Retrieved evidence supports the proposed backstory without violating narrative constraints.
119,1,Retrieved evidence supports the proposed backstory without violating narrative constraints.
93,1,Retrieved evidence supports the proposed backstory without violating narrative constraints.
72,1,Retrieved evidence supports the proposed backstory without violating narrative constraints.
16,1,Retrieved evidence supports the proposed backstory without violating narrative constraints.
30,1,Retrieved evidence supports the proposed backstory without violating narrative constraints.
97,0,Retrieved evidence introduces narrative constraints that contradict the proposed backstory.
22,1,Retrieved evidence supports the proposed backstory without violating narrative constraints.
53,1,Retrieved evidence supports the proposed backstory without violating narrative constraints.
58,1,Retrieved evidence supports the proposed backstory without violating narrative constraints.
81,1,Retrieved evidence supports the proposed backstory without violating narrative constraints.
47,1,Retrieved evidence supports the proposed backstory without violating narrative constraints.
7,1,Retrieved evidence supports the proposed backstory without violating narrative constraints.
121,1,Retrieved evidence supports the proposed backstory without violating narrative constraints.
129,1,Retrieved evidence supports the proposed backstory without violating narrative constraints.
51,1,Retrieved evidence supports the proposed backstory without violating narrative constraints.
127,1,Retrieved evidence supports the proposed backstory without violating narrative constraints.
133,1,Retrieved evidence supports the proposed backstory without violating narrative constraints.
52,1,Retrieved evidence supports the proposed backstory without violating narrative constraints.
114,0,Retrieved evidence introduces narrative constraints that contradict the proposed backstory.
2,1,Retrieved evidence supports the proposed backstory without violating narrative constraints.
33,1,Retrieved evidence supports the proposed backstory without violating narrative constraints.
15,1,Retrieved evidence supports the proposed backstory without violating narrative constraints.
82,1,Retrieved evidence supports the proposed backstory without violating narrative constraints.
37,1,Retrieved evidence supports the proposed backstory without violating narrative constraints.
3,1,Retrieved evidence supports the proposed backstory without violating narrative constraints.
103,0,Retrieved evidence introduces narrative constraints that contradict the proposed backstory.
94,0,Retrieved evidence introduces narrative constraints that contradict the proposed backstory.
85,1,Retrieved evidence supports the proposed backstory without violating narrative constraints.
21,1,Retrieved evidence supports the proposed backstory without violating narrative constraints.
49,1,Retrieved evidence supports the proposed backstory without violating narrative constraints.
140,0,Retrieved evidence introduces narrative constraints that contradict the proposed backstory.
64,1,Retrieved evidence supports the proposed backstory without violating narrative constraints.
131,1,Retrieved evidence supports the proposed backstory without violating narrative constraints.
61,1,Retrieved evidence supports the proposed backstory without violating narrative constraints.
86,1,Retrieved evidence supports the proposed backstory without violating narrative constraints.
38,1,Retrieved evidence supports the proposed backstory without violating narrative constraints.
132,1,Retrieved evidence supports the proposed backstory without violating narrative constraints.
77,1,Retrieved evidence supports the proposed backstory without violating narrative constraints.
70,1,Retrieved evidence supports the proposed backstory without violating narrative constraints.
115,1,Retrieved evidence supports the proposed backstory without violating narrative constraints.
78,1,Retrieved evidence supports the proposed backstory without violating narrative constraints.
87,0,Retrieved evidence introduces narrative constraints that contradict the proposed backstory.
75,1,Retrieved evidence supports the proposed backstory without violating narrative constraints.
44,1,Retrieved evidence supports the proposed backstory without violating narrative constraints.
